branch_id,branch_name,region,revenue_sar,customers,satisfaction_score,staff_count,transactions_monthly,growth_pct
BR001,Western Branch 1,Western,8340000,4510,3.6,17,24600,2.1
BR002,Eastern Branch 2,Eastern,8880000,4820,3.7,18,27200,2.8
BR003,Northern Branch 3,Northern,9420000,5130,3.8,19,29800,3.5
BR004,Southern Branch 4,Southern,9960000,5440,3.9,20,32400,4.2
BR005,Madinah Branch 5,Madinah,10500000,5750,4.0,21,35000,4.9
BR006,Central Branch 6,Central,11040000,6060,4.1,22,37600,5.6
BR007,Western Branch 7,Western,11580000,6370,4.2,23,40200,6.3
BR008,Eastern Branch 8,Eastern,12120000,6680,4.3,24,42800,7.0
BR009,Northern Branch 9,Northern,12660000,6990,4.4,25,45400,7.7
BR010,Southern Branch 10,Southern,13200000,7300,4.5,26,48000,8.4
BR011,Madinah Branch 11,Madinah,13740000,7610,4.6,27,50600,9.1
BR012,Central Branch 12,Central,14280000,7920,3.5,28,53200,9.8
BR013,Western Branch 13,Western,14820000,8230,3.2,29,55800,10.5
BR014,Eastern Branch 14,Eastern,15360000,8540,3.7,30,58400,11.2
BR015,Northern Branch 15,Northern,15900000,8850,3.8,31,61000,1.4
BR016,Southern Branch 16,Southern,16440000,9160,3.9,32,63600,2.1
BR017,Madinah Branch 17,Madinah,16980000,9470,4.0,33,66200,2.8
BR018,Central Branch 18,Central,17520000,9780,4.1,34,68800,3.5
BR019,Western Branch 19,Western,18060000,10090,4.2,35,71400,4.2
BR020,Eastern Branch 20,Eastern,18600000,10400,4.3,36,74000,4.9
BR021,Northern Branch 21,Northern,19140000,10710,4.4,37,76600,5.6
BR022,Southern Branch 22,Southern,19680000,11020,4.5,38,79200,-1.8
BR023,Madinah Branch 23,Madinah,20220000,11330,4.6,39,81800,7.0
BR024,Central Branch 24,Central,20760000,11640,3.5,40,84400,7.7
BR025,Western Branch 25,Western,21300000,11950,3.6,41,87000,8.4
BR026,Eastern Branch 26,Eastern,21840000,12260,3.7,42,89600,9.1
BR027,Northern Branch 27,Northern,22380000,12570,3.8,43,92200,9.8
BR028,Southern Branch 28,Southern,22920000,12880,3.9,44,94800,10.5
BR029,Madinah Branch 29,Madinah,23460000,13190,4.0,45,97400,11.2
BR030,Central Branch 30,Central,24000000,13500,4.1,46,100000,1.4
