segment,customer_count,avg_balance_sar,churn_rate,product_count,digital_adoption_pct,satisfaction,revenue_per_customer
Premium,11400,12000,2.3,2.1,55,3.9,2700
Affluent,16800,24000,3.2,2.8,62,4.0,4450
Mass Affluent,22200,36000,4.1,3.5,69,4.2,6200
Retail Core,27600,48000,5.0,4.2,76,4.3,7950
Youth,33000,60000,5.9,1.4,83,4.5,9700
SME,38400,72000,6.8,2.1,90,3.7,11450
Corporate,43800,1250000,7.7,2.8,48,3.9,46000
Digital First,49200,96000,1.4,3.5,55,4.0,14950
Women Banking,54600,108000,2.3,4.2,62,4.2,16700
Payroll,60000,120000,3.2,1.4,69,4.3,18450
