customer_id,segment,annual_value,product_count,digital_logins,complaint_rate
C-201,core,7700,2,21,0.03
C-202,premium,9400,3,30,0.06
C-203,watchlist,11100,4,39,0.09
C-204,emerging_affluent,12800,5,48,0.0
C-205,digital_first,14500,6,57,0.03
C-206,growth,16200,1,66,0.06
C-207,core,17900,2,75,0.09
C-208,premium,19600,3,84,0.0
C-209,watchlist,21300,4,93,0.03
C-210,premium_plus,23000,5,102,0.06
C-211,digital_first,24700,6,111,0.09
C-212,growth,26400,1,120,0.0
C-213,core,28100,2,129,0.03
C-214,premium,29800,3,138,0.06
C-215,watchlist,31500,4,147,0.09
C-216,emerging_affluent,33200,5,156,0.0
C-217,digital_first,34900,6,165,0.03
C-218,growth,36600,1,174,0.06
C-219,core,38300,2,183,0.09
C-220,premium,40000,3,192,0.0
C-221,watchlist,41700,4,201,0.03
C-222,emerging_affluent,43400,5,210,0.06
C-223,digital_first,45100,6,219,0.09
C-224,growth,46800,1,228,0.0
C-225,core,48500,2,237,
C-226,premium,50200,3,246,0.06
C-227,watchlist,51900,4,255,0.09
C-228,emerging_affluent,53600,5,264,0.0
C-229,digital_first,55300,6,13,0.03
C-230,growth,57000,1,22,0.06
C-231,core,6700,2,31,0.09
C-232,premium,8400,3,40,0.0
C-233,watchlist,10100,4,49,0.03
C-234,emerging_affluent,11800,5,58,0.06
C-235,digital_first,13500,6,67,0.09
C-236,growth,15200,1,76,0.0
C-237,core,16900,2,85,0.03
C-238,premium,18600,3,94,0.06
C-239,watchlist,20300,4,103,0.09
C-240,emerging_affluent,22000,5,112,0.0
C-241,digital_first,23700,6,121,0.03
C-242,growth,25400,1,130,0.06
C-243,core,27100,2,139,0.09
C-244,premium,28800,3,148,0.0
C-245,watchlist,30500,4,157,0.03
C-246,emerging_affluent,32200,5,166,0.06
C-247,digital_first,33900,6,175,0.09
C-248,growth,35600,1,0,0.0
C-249,core,37300,2,193,0.03
C-250,premium,39000,3,202,0.06
C-251,watchlist,40700,4,211,0.09
C-252,emerging_affluent,42400,5,220,0.0
C-253,digital_first,44100,6,229,0.03
C-254,growth,45800,1,238,0.06
C-255,core,47500,2,247,0.09
C-256,premium,49200,3,256,0.0
C-257,watchlist,50900,4,265,0.03
C-258,emerging_affluent,52600,5,14,0.06
C-259,digital_first,54300,6,23,0.09
C-260,growth,56000,1,32,0.0
C-261,core,57700,2,41,0.03
C-262,premium,7400,3,50,0.06
C-263,watchlist,9100,4,59,0.09
C-264,emerging_affluent,10800,5,68,0.0
C-265,digital_first,12500,6,77,0.03
C-266,growth,14200,1,86,0.06
C-267,core,15900,2,95,0.09
C-268,premium,17600,3,104,0.0
C-269,watchlist,19300,4,113,0.03
C-270,emerging_affluent,21000,5,122,0.06
C-271,digital_first,22700,6,131,0.09
C-272,growth,24400,1,140,0.0
C-273,core,26100,2,149,0.03
C-274,premium,27800,3,158,0.06
C-275,watchlist,29500,4,167,0.09
C-276,emerging_affluent,31200,5,176,0.0
C-277,digital_first,32900,6,185,0.03
C-278,growth,34600,1,194,0.06
C-279,core,36300,2,203,0.09
C-280,premium,38000,3,212,0.0
