ticket_id,priority,queue_age_hours,customer_tenure_months,channel,breached_sla
T-1001,medium,5,17,app,0
T-1002,high,8,28,call_center,0
T-1003,low,11,39,web,0
T-1004,medium,14,50,relationship_manager,0
T-1005,high,17,61,branch,1
T-1006,low,20,72,app,0
T-1007,medium,23,83,call_center,0
T-1008,high,26,10,web,1
T-1009,low,29,21,relationship_manager,1
T-1010,medium,32,32,branch,1
T-1011,high,35,43,app,1
T-1012,low,2,54,ivr,0
T-1013,medium,5,65,web,0
T-1014,high,8,76,relationship_manager,0
T-1015,low,11,87,branch,1
T-1016,medium,14,14,app,0
T-1017,high,17,25,call_center,1
T-1018,low,20,36,web,1
T-1019,medium,23,47,relationship_manager,0
T-1020,high,26,58,branch,1
T-1021,low,29,69,app,0
T-1022,medium,32,80,call_center,0
T-1023,high,35,7,web,1
T-1024,low,2,18,relationship_manager,0
T-1025,medium,5,29,branch,0
T-1026,high,8,40,app,0
T-1027,low,11,51,call_center,1
T-1028,medium,14,62,web,0
T-1029,high,17,73,relationship_manager,1
T-1030,low,20,84,branch,1
T-1031,medium,23,11,app,0
T-1032,high,26,22,call_center,1
T-1033,low,29,33,web,0
T-1034,medium,32,44,relationship_manager,0
T-1035,high,35,55,branch,1
T-1036,low,2,66,app,1
T-1037,medium,,77,call_center,0
T-1038,high,8,88,web,0
T-1039,low,11,15,relationship_manager,0
T-1040,medium,14,26,branch,1
T-1041,high,17,37,app,1
T-1042,low,20,48,call_center,0
T-1043,medium,23,59,web,0
T-1044,high,26,70,relationship_manager,1
T-1045,low,29,81,branch,1
T-1046,medium,32,8,app,0
T-1047,high,35,19,call_center,1
T-1048,low,2,30,web,0
T-1049,medium,5,41,relationship_manager,0
T-1050,high,8,52,branch,0
T-1051,low,11,63,app,0
T-1052,medium,14,74,call_center,0
T-1053,high,17,85,web,1
T-1054,low,20,12,relationship_manager,1
T-1055,medium,23,23,branch,1
T-1056,high,26,34,app,1
T-1057,low,29,45,call_center,0
T-1058,medium,32,56,web,0
T-1059,urgent,35,67,relationship_manager,1
T-1060,low,2,78,branch,0
T-1061,medium,5,89,app,0
T-1062,high,8,16,call_center,0
T-1063,low,11,27,web,1
T-1064,medium,14,38,relationship_manager,0
T-1065,high,17,49,branch,1
T-1066,low,20,60,app,0
T-1067,medium,23,71,call_center,0
T-1068,high,26,82,web,1
T-1069,low,29,9,relationship_manager,0
T-1070,medium,32,20,branch,1
T-1071,high,35,31,app,1
T-1072,low,2,42,call_center,1
T-1073,medium,5,53,web,0
T-1074,high,8,64,relationship_manager,0
T-1075,low,11,75,branch,1
T-1076,medium,14,86,app,0
T-1077,high,17,13,call_center,1
T-1078,low,20,24,web,0
T-1079,medium,23,35,relationship_manager,0
T-1080,high,26,46,branch,1
T-1081,low,29,57,app,1
T-1082,medium,32,68,call_center,0
T-1083,high,35,79,web,1
T-1084,low,2,6,relationship_manager,0
T-1085,medium,5,17,branch,0
T-1086,high,8,28,app,0
T-1087,low,11,39,call_center,0
T-1088,medium,14,50,web,0
T-1089,high,17,61,relationship_manager,1
T-1090,low,20,72,branch,1
T-1091,medium,23,83,app,0
T-1092,high,26,10,call_center,1
T-1093,low,29,21,web,0
T-1094,medium,32,32,relationship_manager,0
T-1095,high,35,43,branch,1
T-1096,low,2,54,app,0
T-1097,medium,5,65,call_center,0
T-1098,high,8,76,web,0
T-1099,low,11,87,relationship_manager,1
T-1100,medium,14,14,branch,1
T-1101,high,17,25,app,1
T-1102,low,20,36,call_center,0
T-1103,medium,23,47,web,0
T-1104,high,26,58,relationship_manager,1
T-1105,low,29,69,branch,1
T-1106,medium,32,80,app,0
T-1107,high,35,7,call_center,1
T-1108,low,2,18,web,1
T-1109,medium,5,29,relationship_manager,0
T-1110,high,8,40,branch,0
T-1111,low,11,51,app,0
T-1112,medium,14,62,call_center,0
T-1113,high,17,73,web,1
T-1114,low,20,84,relationship_manager,0
T-1115,medium,23,11,branch,1
T-1116,high,26,22,app,1
T-1117,low,29,33,call_center,1
T-1118,medium,32,44,web,0
T-1119,high,35,55,relationship_manager,1
T-1120,low,2,66,branch,0
