document_id,document_type,confidence,label_source,requires_review
D-401,invoice,0.65,vendor_model,1
D-402,id_scan,0.72,ops_review,1
D-403,application_form,0.79,manual,0
D-404,salary_certificate,0.86,vendor_model,0
D-405,trade_document,0.93,ops_review,0
D-406,statement,0.62,manual,1
D-407,invoice,0.69,vendor_model,1
D-408,id_scan,0.76,ops_review,1
D-409,application_form,0.83,manual,0
D-410,salary_certificate,0.9,vendor_model,0
D-411,trade_document,0.59,ops_review,1
D-412,statement,0.66,manual,1
D-413,invoice,0.73,vendor_model,1
D-414,id_scan,0.8,ops_review,0
D-415,application_form,0.87,manual,0
D-416,salary_certificate,0.94,vendor_model,0
D-417,trade_document,0.63,ops_review,1
D-418,unknown_form,0.7,manual,1
D-419,invoice,0.77,vendor_model,1
D-420,id_scan,0.84,ops_review,0
D-421,application_form,0.91,manual,0
D-422,salary_certificate,0.6,vendor_model,1
D-423,trade_document,0.67,ops_review,1
D-424,statement,0.74,manual,1
D-425,invoice,0.81,vendor_model,0
D-426,id_scan,0.88,ops_review,0
D-427,application_form,0.95,manual,0
D-428,salary_certificate,0.64,vendor_model,1
D-429,trade_document,0.71,ops_review,1
D-430,statement,0.78,manual,0
D-431,invoice,0.85,vendor_model,0
D-432,id_scan,0.92,ops_review,0
D-433,application_form,0.61,manual,1
D-434,salary_certificate,0.68,vendor_model,1
D-435,trade_document,0.75,ops_review,1
D-436,statement,0.82,manual,0
D-437,invoice,0.89,vendor_model,0
D-438,id_scan,0.58,ops_review,1
D-439,application_form,0.65,manual,1
D-440,salary_certificate,0.72,vendor_model,1
D-441,trade_document,0.79,ops_review,0
D-442,statement,0.86,manual,0
D-443,invoice,0.93,vendor_model,0
D-444,id_scan,0.62,ops_review,1
D-445,application_form,,manual,1
D-446,salary_certificate,0.76,vendor_model,1
D-447,trade_document,0.83,ops_review,0
D-448,statement,0.9,manual,0
D-449,invoice,0.59,vendor_model,1
D-450,id_scan,0.66,ops_review,1
D-451,application_form,0.73,manual,1
D-452,salary_certificate,0.8,vendor_model,0
D-453,trade_document,0.87,ops_review,0
D-454,statement,0.94,manual,0
D-455,invoice,0.63,vendor_model,1
D-456,id_scan,0.7,ops_review,1
D-457,application_form,0.77,manual,1
D-458,salary_certificate,0.84,vendor_model,0
D-459,trade_document,0.91,ops_review,0
D-460,statement,0.6,manual,1
D-461,invoice,0.67,vendor_model,1
D-462,id_scan,0.74,ops_review,1
D-463,application_form,0.81,manual,0
D-464,salary_certificate,0.88,vendor_model,0
D-465,trade_document,0.95,ops_review,0
D-466,statement,0.64,manual,1
D-467,invoice,0.71,vendor_model,1
D-468,id_scan,0.78,ops_review,0
D-469,application_form,0.85,manual,0
D-470,salary_certificate,0.92,vendor_model,0
D-471,trade_document,0.61,ops_review,1
D-472,statement,0.68,manual,1
D-473,invoice,0.75,vendor_model,1
D-474,id_scan,0.82,ops_review,0
D-475,application_form,0.89,manual,0
D-476,salary_certificate,0.58,vendor_model,1
D-477,trade_document,0.65,ops_review,1
D-478,statement,0.72,manual,1
D-479,invoice,0.79,vendor_model,0
D-480,id_scan,0.86,ops_review,0
D-481,application_form,0.93,manual,0
D-482,salary_certificate,0.62,vendor_model,1
D-483,trade_document,0.69,ops_review,1
D-484,statement,0.76,manual,1
D-485,invoice,0.83,vendor_model,0
D-486,id_scan,0.9,ops_review,0
D-487,application_form,0.59,manual,1
D-488,salary_certificate,0.66,vendor_model,1
D-489,trade_document,0.73,ops_review,1
D-490,statement,0.8,manual,0
