run_id,architecture,epoch,train_loss,val_loss,val_accuracy
R-301,dense-2x64,1,0.88,0.96,0.72
R-301,dense-2x64,3,0.74,0.84,0.79
R-301,dense-2x64,5,0.6,0.72,0.86
R-301,dense-2x64,8,0.39,0.54,0.96
R-302,dense-3x128,1,0.86,0.94,0.73
R-302,dense-3x128,3,0.72,0.82,0.8
R-302,dense-3x128,5,0.58,0.7,0.87
R-302,dense-3x128,8,0.37,0.56,0.95
R-303,cnn-transfer,1,0.84,0.92,0.74
R-303,cnn-transfer,3,0.7,0.8,0.81
R-303,cnn-transfer,5,0.56,0.68,0.88
R-303,cnn-transfer,8,0.35,0.5,0.97
R-304,cnn-lite,1,0.82,0.91,0.75
R-304,cnn-lite,3,0.68,0.79,0.82
R-304,cnn-lite,5,0.54,0.67,0.89
R-304,cnn-lite,8,0.33,0.49,0.97
R-305,hybrid-attention,1,0.8,0.89,0.76
R-305,hybrid-attention,3,0.66,0.77,0.83
R-305,hybrid-attention,5,0.52,0.65,0.9
R-305,hybrid-attention,8,0.31,0.47,0.97
R-306,dense-2x64,1,0.78,0.87,0.77
R-306,dense-2x64,3,0.64,0.75,0.84
R-306,dense-2x64,5,0.5,0.63,0.91
R-306,dense-2x64,8,0.29,0.45,0.97
R-307,dense-3x128,1,0.76,0.85,0.78
R-307,dense-3x128,3,0.62,0.73,0.84
R-307,dense-3x128,5,0.48,0.61,0.92
R-307,dense-3x128,8,0.27,0.47,0.97
R-308,cnn-transfer,1,0.74,0.83,0.79
R-308,cnn-transfer,3,0.6,0.71,0.85
R-308,cnn-transfer,5,0.46,0.59,0.93
R-308,cnn-transfer,8,0.25,0.41,0.97
R-309,cnn-lite,1,0.72,0.82,0.8
R-309,cnn-lite,3,0.58,0.7,0.86
R-309,cnn-lite,5,0.44,0.58,0.94
R-309,cnn-lite,8,0.23,0.4,0.97
R-310,hybrid-attention,1,0.7,0.8,0.81
R-310,hybrid-attention,3,0.56,0.68,0.88
R-310,hybrid-attention,5,0.42,0.56,0.95
R-310,hybrid-attention,8,0.21,0.38,0.97
R-311,dense-2x64,1,0.68,0.78,0.82
R-311,dense-2x64,3,0.54,0.66,0.89
R-311,dense-2x64,5,0.4,0.54,0.96
R-311,dense-2x64,8,0.19,0.36,0.97
R-312,dense-3x128,1,0.66,0.76,0.83
R-312,dense-3x128,3,0.52,0.64,0.9
R-312,dense-3x128,5,0.38,0.52,0.97
R-312,dense-3x128,8,0.17,0.38,0.97
R-313,cnn-transfer,1,0.64,0.74,0.84
R-313,cnn-transfer,3,0.5,0.62,0.91
R-313,cnn-transfer,5,0.36,0.5,0.97
R-313,cnn-transfer,8,0.15,0.32,0.97
R-314,cnn-lite,1,0.62,0.73,0.85
R-314,cnn-lite,3,0.48,0.61,0.92
R-314,cnn-lite,5,0.34,0.49,0.97
R-314,cnn-lite,8,0.13,0.31,0.97
R-315,hybrid-attention,1,0.6,0.71,0.86
R-315,hybrid-attention,3,0.46,0.59,0.93
R-315,hybrid-attention,5,0.32,0.47,0.97
R-315,hybrid-attention,8,0.12,0.29,0.97
